กลิ่น (scent),ขนาด (size),เกรด (grade),SKU,Barcode
Gentle Elixir,10 ml.,EDP,GER-10 ml,8857128012142
Gentle Elixir,30 ml.,EDP,GER-30 ml,8857128012141
Gentle Elixir,4 ml.,EDP,GER-4 ml,8857128012143
Gentle Elixir,50 ml.,EDP,GER-50 ml,8857128012140
Gentle Elixir TRY ME!,30 ml.,EDP,GEM-30 ml,GER30
Gentle Elixir TRY ME!,50 ml.,EDP,GEM-50 ml,GER50
Hercules,10 ml.,EDP,HES-10 ml,8857128011744
Hercules,30 ml.,EDP,HES-30 ml,8857128011737
Hercules,4 ml.,EDP,HES-4 ml,8857128011546
Hercules,50 ml.,EDP,HES-50 ml,8857128011034
Hercules TRY ME!,30 ml.,EDP,HEM-30 ml,HEM30
Hercules TRY ME!,50 ml.,EDP,HEM-50 ml,HEM50
Impression,10 ml.,EDP+,IMN-30 ml,8857128012126
Impression,30 ml.,EDP+,AMN-30 ml,8857128012006
Impression,4 ml.,EDP+,IMN-30 ml,8857128012127
Impression,50 ml.,EDP+,IMN-50 ml,8857128011676
Impression TRY ME!,30 ml.,EDP+,IMM-30 ml,IMM30
Impression TRY ME!,50 ml.,EDP+,IMM-50 ml,IMM50
Ischyros,50 ml,EDP,,8857128011362
La Belle,10 ml.,EDP,LBE-10 ml,8857128012034
La Belle,30 ml.,EDP,LBE-30 ml,8857128011904
La Belle,4 ml.,EDP,LBE-4 ml,8857128012016
La Belle,50 ml.,EDP,LBE-50 ml,8857128011058
La Belle TRY ME!,30 ml.,EDP,LBM-30 ml,LBM30
La Belle TRY ME!,50 ml.,EDP,LBM-50 ml,LBM50
Legend of Oud,10 ml.,EDP+,LOD-10 ml,8857128012110
Legend of Oud,30 ml.,EDP+,LOD-30 ml,8857128012007
Legend of Oud,4 ml.,EDP+,LOD-4 ml,8857128012111
Legend of Oud,50 ml.,EDP+,LOD-50 ml,8857128011683
Legend of Oud TRY ME!,30 ml.,EDP+,LOM-30 ml,LOM30
Legend of Oud TRY ME!,50 ml.,EDP+,LOM-50 ml,LOM50
Legendary,10 ml.,EDP,LEY-10 ml,8857128012073
Legendary,30 ml.,EDP,LEY-30 ml,8857128012072
Legendary,4 ml.,EDP,LEY-4 ml,8857128012074
Legendary,50 ml.,EDP,LEY-50 ml,8857128011454
Legendary TRY ME!,30 ml.,EDP,LEM-30 ml,LEM30
Legendary TRY ME!,50 ml.,EDP,LEM-50 ml,LEM50
Lure,50 ml,EDP+,,8857128011393
Luscious Santal,10 ml.,EDP+,LSL-10 ml,8857128012122
Luscious Santal,30 ml.,EDP+,LSL-30 ml,8857128012008
Luscious Santal,4 ml.,EDP+,LSL-4 ml,8857128012123
Luscious Santal,50 ml.,EDP+,LSL-50 ml,8857128011690
Luscious Santal TRY ME!,30 ml.,EDP+,LSM-30 ml,LSM30
Luscious Santal TRY ME!,50 ml.,EDP+,LSM-50 ml,LSM50
Make Way,10 ml.,EDP,MWY-10 ml,8857128012028
Make Way,30 ml.,EDP,MWY-30 ml,8857128012024
Make Way,4 ml.,EDP,MWY-4 ml,8857128012049
Make Way,50 ml.,EDP,MWY-50 ml,8857128012020
Make Way TRY ME!,30 ml.,EDP,MWM-30 ml,MWM30
Make Way TRY ME!,50 ml.,EDP,MWM-50 ml,MWM50
Mellow,10 ml.,EDP,MEL-10 ml,8857128012149
Mellow,30 ml.,EDP,MEL-30 ml,8857128012148
Mellow,4 ml.,EDP,MEL-4 ml,8857128012150
Mellow,50 ml.,EDP,MEL-50 ml,8857128011249
Mellow TRY ME!,50 ml.,EDP,MEM-50ml,MEM50
Moon Light,10 ml.,EDP,MLT-10 ml,8857128012067
Moon Light,30 ml.,EDP,MOT-30 ml,8857128012014
Moon Light,4 ml.,EDP,MLT-4 ml,8857128012068
Moon Light,50 ml.,EDP,MLT-50 ml,8857128011089
Moon Light TRY ME!,30 ml.,EDP,MLM-30 ml,MLM30
Moon Light TRY ME!,50 ml.,EDP,MLM-50 ml,MLM50
Never Blue,10 ml.,EDP,NBE-10 ml,8857128012035
Never Blue,30 ml.,EDP,NBE-30 ml,8857128011836
Never Blue,4 ml.,EDP,NBE-4 ml,8857128012036
Never Blue,50 ml.,EDP,NBE-50 ml,8857128011287
Never Blue TRY ME!,30 ml.,EDP,NBM-30 ml,NBM30
Never Blue TRY ME!,50 ml.,EDP,NBM-50 ml,NBM50
Nifty,50 ml,EDP+,,8857128011409
Nouveau,10 ml.,EDP,NOM-10ml,8857128012170
Nouveau,30 ml.,EDP,NOM-30ml,8857128012169
Nouveau,4 ml.,EDP,NOM-4ml,8857128012171
Nouveau,50 ml.,EDP,NOM-50ml,8857128011799
Nouveau TRY ME!,50 ml.,EDP,NOU-50ml,NOM50
Oak & Berry,50 ml,EDP,,8857128011478
Passion,10 ml.,EDP,PSS-10ml,8857128012157
Passion,30 ml.,EDP,PSS-30ml,8857128012156
Passion,4 ml.,EDP,PSS-4ml,8857128012158
Passion,50 ml.,EDP,PSS-50ml,8857128011584
Passion TRY ME!,50 ml.,EDP,PSST-50ml,PSS50
Patchouli Absolute,10 ml.,EDP+,PAE-10 ml,8857128012114
Patchouli Absolute,30 ml.,EDP+,PAE-30 ml,8857128012009
Patchouli Absolute,4 ml.,EDP+,PAE-4 ml,8857128012115
Patchouli Absolute,50 ml.,EDP+,PAE-50 ml,8857128011706
